id, x, y 
6777, -0.100, -1.096 
5872, 0.694, -0.801 
5873, 0.692, -0.815 
5870, 1.068, 0.606 
5871, 1.545, 1.949 
5876, 1.545, 1.949 
9961, -0.714, 0.479 
5874, 1.055, 0.755 
9963, 1.220, -1.625 
5879, 0.692, -0.815 
5553, -3.239, -0.628 
5278, 0.197, 0.593 
5131, 0.754, -2.783 
7590, -2.386, -1.034 
9481, 3.116, 3.952 
8866, -1.831, -0.715 
7904, 0.716, -0.696 
9486, 1.638, -0.731 
5725, -3.151, -0.579 
6680, 0.848, 0.514 
6681, 0.754, 0.474 
6683, 0.848, 0.514 
6684, 0.465, 0.316 
6685, 0.423, 0.292 
7228, 1.976, -0.591 
5074, 0.801, 1.010 
9502, 1.168, 0.750 
9503, 1.149, 0.722 
7849, -2.462, -0.452 
7848, -2.432, -0.778 
7845, -3.175, -0.956 
7844, 1.812, 1.297 
7847, -2.903, -0.009 
7846, -3.191, -0.130 
7841, 1.403, -1.180 
7840, 1.297, -0.783 
7843, 1.145, 0.393 
4838, -0.737, -0.712 
6355, 1.311, -2.001 
6353, 1.365, 0.220 
4831, 0.927, 0.743 
4830, -3.500, -0.009 
4835, -0.737, -0.712 
4834, 2.549, -1.773 
4837, 2.554, -1.772 
4836, 2.553, -1.769 
7993, 0.826, -0.831 
6197, 1.211, 0.567 
6191, 1.816, -1.485 
9438, 1.645, -1.002 
9436, 1.306, -1.162 
7999, 0.822, -0.001 
9435, 1.273, -1.171 
9432, 1.974, -0.879 
9433, 1.986, -0.676 
9430, 2.021, -1.363 
9431, 1.935, -1.167 
9616, 1.542, -0.376 
9341, -1.416, 0.495 
9614, 1.542, -0.376 
9615, 1.513, -0.880 
9344, 1.175, -1.379 
9613, 1.837, -0.271 
9346, -0.183, -0.354 
5299, 1.943, 5.638 
9348, -0.127, -0.041 
9349, -0.256, -0.120 
5294, 1.464, -1.470 
5295, 1.322, 2.383 
5292, 0.171, 1.163 
5293, 1.830, -0.626 
5290, 1.889, 5.026 
5291, 0.260, 1.593 
9664, 2.262, -3.416 
9185, -0.697, 0.491 
5058, 2.535, -0.788 
9180, 0.017, 0.494 
9181, -0.352, 0.528 
5054, 2.540, -0.793 
5055, 2.535, -0.777 
5057, -3.154, -0.583 
5051, 1.081, 0.643 
5053, -3.154, -0.583 
7209, 2.817, 3.322 
7208, -2.527, -0.113 
9230, -0.158, -0.064 
8255, 2.108, -0.821 
7203, 1.269, 0.300 
7202, 1.269, 0.394 
7206, 1.135, 0.589 
7205, -0.149, -0.806 
7204, 0.236, -1.014 
8141, 1.096, 0.622 
6220, -2.944, -0.875 
6221, 0.445, 2.939 
6226, 0.735, -1.153 
6227, 0.966, -0.632 
6225, 0.800, -1.526 
6228, 0.990, -0.237 
6229, 1.000, -1.712 
6996, 0.967, 1.800 
8142, 2.084, -1.038 
8145, 2.084, -1.041 
6991, 2.460, -0.065 
9762, 0.154, -1.848 
9761, 1.186, -0.072 
9766, 1.811, 2.607 
8147, 2.079, -1.037 
9419, 1.087, 0.580 
9768, 0.154, -1.848 
9769, 0.154, -1.848 
9297, 0.853, 0.189 
9294, 1.072, -0.944 
9295, -0.343, -0.428 
4956, -4.426, 0.828 
8859, 0.486, 0.559 
8858, -1.953, -0.717 
4954, -2.721, -0.503 
8853, -2.159, 0.090 
8852, 1.088, 0.631 
8851, -2.151, 0.089 
4955, -3.982, 0.665 
8857, 1.088, 0.631 
8856, 1.079, 0.637 
8855, 1.088, 0.631 
8854, -2.157, 0.089 
5476, -3.197, -0.671 
5474, -3.239, -0.628 
5475, -3.105, -0.486 
5472, -3.232, -0.606 
5473, -2.920, -0.464 
5470, -1.831, -0.075 
5471, -2.897, -0.495 
5478, -1.946, 0.080 
5479, -1.181, -0.550 
6415, 2.140, 1.442 
5272, -2.917, -0.879 
7052, -5.888, 1.448 
7050, 0.266, -0.796 
7051, 0.330, -1.130 
7056, 1.610, 1.659 
5279, 0.488, -1.668 
7054, 0.318, 1.421 
7055, 2.212, 1.276 
9897, 1.768, -0.947 
9231, -0.357, -0.463 
8149, -2.527, -0.113 
8148, 2.083, -1.040 
6999, 1.083, 0.412 
8638, -0.760, 0.479 
8637, -2.889, -0.173 
8636, -2.775, -0.116 
8635, -1.611, 0.325 
